Index	SampleID	BaseName	ArrayType	GSMID	SampleType	Download	Annotations	AnnotColor
3999112147_R03C02	CONTR_REACT_18		450k	GSM2405479	ref	TRUE		
9533774047_R05C02	CONTR_REACT_19		450k	GSM2404809	ref	TRUE		
9444375019_R01C01	CONTR_REACT_20		450k	GSM2404485	ref	TRUE		
9340996032_R03C01	CONTR_REACT_21		450k	GSM2404028	ref	TRUE		
9305651054_R04C01	CONTR_REACT_22		450k	GSM2403967	ref	TRUE		
9007225026_R02C01	CONTR_REACT_23		450k	GSM2403717	ref	TRUE		
3999834095_R04C01	CONTR_WM_01		450k	GSM2405393	ref	TRUE		
9420867097_R04C02	CONTR_WM_02		450k	GSM2404447	ref	TRUE		
9420867097_R03C02	CONTR_WM_03		450k	GSM2404446	ref	TRUE		
9420867097_R02C02	CONTR_WM_04		450k	GSM2404445	ref	TRUE		
9647455131_R06C01	CONTR_WM_05		450k	GSM2404692	ref	TRUE		
9741950023_R01C01	CONTR_WM_06		450k	GSM2404609	ref	TRUE		
3999834095_R06C02	CONTR_WM_07		450k	GSM2405398	ref	TRUE		
3998568167_R04C02	CONTR_WM_08		450k	GSM2405638	ref	TRUE		
9741950021_R06C02	CONTR_WM_09		450k	GSM2404608	ref	TRUE		
